"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"02/19/1999","119","","Azusa","06-037-0002","AQS"
"02/20/1999","109","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"02/21/1999","61","","Azusa","06-037-0002","AQS"
"02/22/1999","61","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"02/23/1999","75","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"02/24/1999","96","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"02/25/1999","79","","Azusa","06-037-0002","AQS"
"02/26/1999","73","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/27/1999","106","","Azusa","06-037-0002","AQS"
"02/28/1999","111","","Long Beach (North)","06-037-4002","AQS"
"03/01/1999","117","","Azusa","06-037-0002","AQS"
"03/02/1999","124","","Azusa","06-037-0002","AQS"
"03/03/1999","95","","Azusa","06-037-0002","AQS"
"03/04/1999","60","","Azusa","06-037-0002","AQS"
"03/05/1999","60","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"03/06/1999","57","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"03/07/1999","56","","Azusa","06-037-0002","AQS"
"03/08/1999","49","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"03/10/1999","56","","Lynwood","06-037-1301","AQS"
"03/13/1999","103","","Lynwood","06-037-1301","AQS"
"03/16/1999","68","","Lynwood","06-037-1301","AQS"
"03/19/1999","76","","Azusa","06-037-0002","AQS"
"03/22/1999","66","","Not Available","06-037-1601","AQS"
"03/25/1999","100","","Not Available","06-037-1601","AQS"
"03/28/1999","94","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/31/1999","51","","Lynwood","06-037-1301","AQS"
"04/03/1999","54","","Lynwood","06-037-1301","AQS"
"04/06/1999","56","","Not Available","06-037-1601","AQS"
"04/09/1999","40","","Not Available","06-037-1601","AQS"
"04/12/1999","50","","Long Beach (North)","06-037-4002","AQS"
"04/15/1999","155","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"04/18/1999","95","","Lynwood","06-037-1301","AQS"
"04/21/1999","73","","Azusa","06-037-0002","AQS"
"04/24/1999","68","","Azusa","06-037-0002","AQS"
"04/27/1999","90","","Pasadena","06-037-2005","AQS"
"04/30/1999","63","","Reseda","06-037-1201","AQS"
"05/03/1999","60","","Azusa","06-037-0002","AQS"
"05/06/1999","83","","Lynwood","06-037-1301","AQS"
"05/09/1999","68","","Lynwood","06-037-1301","AQS"
"05/12/1999","95","","Burbank","06-037-1002","AQS"
"05/15/1999","62","","Not Available","06-037-1601","AQS"
"05/18/1999","71","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/21/1999","60","","Burbank","06-037-1002","AQS"
"05/24/1999","71","","Not Available","06-037-1601","AQS"
"05/27/1999","103","","Not Available","06-037-1601","AQS"
"05/30/1999","54","","Not Available","06-037-1601","AQS"
"06/02/1999","37","","Lynwood","06-037-1301","AQS"
"06/05/1999","62","","Not Available","06-037-1601","AQS"
"06/08/1999","72","","Burbank","06-037-1002","AQS"
"06/11/1999","84","","Pasadena","06-037-2005","AQS"
"06/14/1999","88","","Not Available","06-037-1601","AQS"
"06/17/1999","118","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/20/1999","111","","Burbank","06-037-1002","AQS"
"06/23/1999","70","","Long Beach (North)","06-037-4002","AQS"
"06/26/1999","77","","Pasadena","06-037-2005","AQS"
"06/29/1999","77","","Burbank","06-037-1002","AQS"
"07/02/1999","61","","Burbank","06-037-1002","AQS"
"07/05/1999","167","","Not Available","06-037-1601","AQS"
"07/08/1999","78","","Not Available","06-037-1601","AQS"
"07/11/1999","131","","Lancaster-Ponderosa St.","06-037-9002","AQS"
"07/14/1999","69","","Not Available","06-037-1601","AQS"
"07/17/1999","61","","Azusa","06-037-0002","AQS"
"07/20/1999","58","","Azusa","06-037-0002","AQS"
"07/23/1999","59","","Not Available","06-037-1601","AQS"
"07/26/1999","73","","Azusa","06-037-0002","AQS"
"07/29/1999","66","","Azusa","06-037-0002","AQS"
"08/01/1999","62","","Azusa","06-037-0002","AQS"
"08/04/1999","80","","Azusa","06-037-0002","AQS"
"08/07/1999","55","","Azusa","06-037-0002","AQS"
"08/10/1999","59","","Azusa","06-037-0002","AQS"
"08/13/1999","73","","Azusa","06-037-0002","AQS"
"08/16/1999","70","","Azusa","06-037-0002","AQS"
"08/19/1999","76","","Azusa","06-037-0002","AQS"
"08/22/1999","83","","Burbank","06-037-1002","AQS"
"08/25/1999","72","","Azusa","06-037-0002","AQS"
"08/28/1999","74","","Azusa","06-037-0002","AQS"
"08/31/1999","122","","Burbank","06-037-1002","AQS"
"09/03/1999","69","","Azusa","06-037-0002","AQS"
"09/06/1999","108","","Azusa","06-037-0002","AQS"
"09/09/1999","65","","Azusa","06-037-0002","AQS"
"09/12/1999","64","","Not Available","06-037-1601","AQS"
"09/15/1999","138","","Azusa","06-037-0002","AQS"
"09/18/1999","152","","Azusa","06-037-0002","AQS"
"09/21/1999","86","","Azusa","06-037-0002","AQS"
"09/24/1999","125","","Azusa","06-037-0002","AQS"
"09/27/1999","119","","Azusa","06-037-0002","AQS"
"09/30/1999","73","","Lynwood","06-037-1301","AQS"
"10/03/1999","121","","Not Available","06-037-1601","AQS"
"10/06/1999","57","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"10/09/1999","76","","Lynwood","06-037-1301","AQS"
"10/12/1999","74","","Not Available","06-037-1601","AQS"
"10/15/1999","82","","Burbank","06-037-1002","AQS"
"10/18/1999","67","","Lynwood","06-037-1301","AQS"
"10/21/1999","77","","Lynwood","06-037-1301","AQS"
"10/24/1999","108","","Lynwood","06-037-1301","AQS"
"10/27/1999","129","","Azusa","06-037-0002","AQS"
"10/30/1999","68","","Lynwood","06-037-1301","AQS"
"11/02/1999","147","","Long Beach (North)","06-037-4002","AQS"
"11/05/1999","163","","Burbank","06-037-1002","AQS"
"11/08/1999","60","","Not Available","06-037-1601","AQS"
"11/11/1999","158","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"11/14/1999","136","","Azusa","06-037-0002","AQS"
"11/17/1999","46","","Not Available","06-037-1601","AQS"
"11/20/1999","124","","Azusa","06-037-0002","AQS"
"11/23/1999","72","","Long Beach (North)","06-037-4002","AQS"
"11/26/1999","111","","Burbank","06-037-1002","AQS"
"11/29/1999","136","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"12/02/1999","95","","Not Available","06-037-1601","AQS"
"12/05/1999","82","","Burbank","06-037-1002","AQS"
"12/08/1999","133","","Not Available","06-037-1601","AQS"
"12/11/1999","80","","Lynwood","06-037-1301","AQS"
"12/14/1999","117","","Burbank","06-037-1002","AQS"
"12/17/1999","122","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"12/20/1999","122","","Lynwood","06-037-1301","AQS"
"12/23/1999","91","","Lynwood","06-037-1301","AQS"
"12/26/1999","73","","Burbank","06-037-1002","AQS"
"12/29/1999","130","","Lynwood","06-037-1301","AQS"
"01/01/2000","158","","Lynwood","06-037-1301","AQS"
"01/02/2000","31","","Azusa","06-037-0002","AQS"
"01/04/2000","83","","Not Available","06-037-1601","AQS"
"01/05/2000","89","","Los Angeles-North Main Street","06-037-1103","AQS"
"01/06/2000","77","","Los Angeles-North Main Street","06-037-1103","AQS"
"01/07/2000","102","","Reseda","06-037-1201","AQS"
"01/08/2000","136","","Long Beach (North)","06-037-4002","AQS"
"01/09/2000","156","","Long Beach (North)","06-037-4002","AQS"
"01/10/2000","158","","Not Available","06-037-1601","AQS"
"01/11/2000","153","","Azusa","06-037-0002","AQS"
"01/12/2000","154","","Azusa","06-037-0002","AQS"
"01/13/2000","145","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"01/14/2000","57","","Los Angeles-North Main Street","06-037-1103","AQS"
"01/15/2000","90","","Long Beach (North)","06-037-4002","AQS"
"01/16/2000","109","","Reseda","06-037-1201","AQS"
"01/17/2000","135","","Long Beach (North)","06-037-4002","AQS"
"01/18/2000","63","","Long Beach (North)","06-037-4002","AQS"
"01/19/2000","65","","Not Available","06-037-1601","AQS"
"01/20/2000","64","","Azusa","06-037-0002","AQS"
"01/21/2000","62","","Azusa","06-037-0002","AQS"
"01/22/2000","93","","Reseda","06-037-1201","AQS"
"01/23/2000","152","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"01/24/2000","113","","Long Beach (North)","06-037-4002","AQS"
"01/25/2000","56","","Lynwood","06-037-1301","AQS"
"01/26/2000","43","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"01/27/2000","80","","Los Angeles-North Main Street","06-037-1103","AQS"
"01/28/2000","129","","Lynwood","06-037-1301","AQS"
"01/29/2000","127","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"01/30/2000","96","","Azusa","06-037-0002","AQS"
"01/31/2000","58","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/01/2000","78","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"02/02/2000","53","","Long Beach (North)","06-037-4002","AQS"
"02/03/2000","67","","Lynwood","06-037-1301","AQS"
"02/04/2000","62","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"02/05/2000","78","","Azusa","06-037-0002","AQS"
"02/06/2000","104","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"02/07/2000","112","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"02/09/2000","87","","Not Available","06-037-1601","AQS"
"02/10/2000","62","","Azusa","06-037-0002","AQS"
"02/11/2000","41","","Long Beach (North)","06-037-4002","AQS"
"02/12/2000","27","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/13/2000","48","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/14/2000","52","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/15/2000","72","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"02/16/2000","51","","Azusa","06-037-0002","AQS"
"02/17/2000","32","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"02/18/2000","92","","Not Available","06-037-1601","AQS"
"02/19/2000","28","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/20/2000","19","","Long Beach (North)","06-037-4002","AQS"
"02/21/2000","67","","Not Available","06-037-1601","AQS"
"02/22/2000","57","","Long Beach (North)","06-037-4002","AQS"
"02/23/2000","30","","Long Beach (North)","06-037-4002","AQS"
"02/24/2000","53","","Not Available","06-037-1601","AQS"
"02/25/2000","51","","Azusa","06-037-0002","AQS"
"02/26/2000","92","","Los Angeles-North Main Street","06-037-1103","AQS"
"02/27/2000","82","","Azusa","06-037-0002","AQS"
"02/28/2000","43","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"02/29/2000","62","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"03/01/2000","55","","Lynwood","06-037-1301","AQS"
"03/02/2000","70","","Long Beach (North)","06-037-4002","AQS"
"03/03/2000","60","","Azusa","06-037-0002","AQS"
"03/04/2000","56","","Lynwood","06-037-1301","AQS"
"03/05/2000","28","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"03/06/2000","37","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"03/07/2000","62","","Reseda","06-037-1201","AQS"
"03/08/2000","30","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/09/2000","47","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/10/2000","66","","Lynwood","06-037-1301","AQS"
"03/11/2000","55","","Long Beach (North)","06-037-4002","AQS"
"03/12/2000","73","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/13/2000","101","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/14/2000","124","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"03/16/2000","147","","Pasadena","06-037-2005","AQS"
"03/17/2000","86","","Azusa","06-037-0002","AQS"
"03/18/2000","103","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/19/2000","90","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/20/2000","48","","Azusa","06-037-0002","AQS"
"03/21/2000","43","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/22/2000","58","","Not Available","06-037-1601","AQS"
"03/23/2000","59","","Azusa","06-037-0002","AQS"
"03/24/2000","71","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/25/2000","75","","Azusa","06-037-0002","AQS"
"03/26/2000","64","","Azusa","06-037-0002","AQS"
"03/27/2000","64","","Los Angeles-North Main Street","06-037-1103","AQS"
"03/28/2000","58","","Burbank","06-037-1002","AQS"
"03/29/2000","60","","Azusa","06-037-0002","AQS"
"03/30/2000","76","","Azusa","06-037-0002","AQS"
"03/31/2000","61","","Lynwood","06-037-1301","AQS"
"04/01/2000","51","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"04/02/2000","58","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"04/03/2000","89","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/04/2000","99","","Long Beach (North)","06-037-4002","AQS"
"04/05/2000","79","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/06/2000","108","","Burbank","06-037-1002","AQS"
"04/07/2000","127","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/08/2000","94","","Azusa","06-037-0002","AQS"
"04/09/2000","55","","Burbank","06-037-1002","AQS"
"04/10/2000","66","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/11/2000","156","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/12/2000","104","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/13/2000","104","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/14/2000","29","","Azusa","06-037-0002","AQS"
"04/15/2000","32","","Burbank","06-037-1002","AQS"
"04/16/2000","30","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/17/2000","28","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/18/2000","24","","Lynwood","06-037-1301","AQS"
"04/19/2000","49","","Azusa","06-037-0002","AQS"
"04/20/2000","63","","Long Beach (North)","06-037-4002","AQS"
"04/21/2000","63","","Burbank","06-037-1002","AQS"
"04/22/2000","60","","Azusa","06-037-0002","AQS"
"04/23/2000","63","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/24/2000","76","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/25/2000","72","","Azusa","06-037-0002","AQS"
"04/26/2000","91","","Los Angeles-North Main Street","06-037-1103","AQS"
"04/27/2000","107","","Burbank","06-037-1002","AQS"
"04/28/2000","75","","Azusa","06-037-0002","AQS"
"04/29/2000","49","","Azusa","06-037-0002","AQS"
"04/30/2000","62","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/01/2000","86","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"05/02/2000","69","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/03/2000","73","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/04/2000","102","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/05/2000","106","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/06/2000","75","","Azusa","06-037-0002","AQS"
"05/07/2000","55","","Azusa","06-037-0002","AQS"
"05/08/2000","52","","Long Beach (North)","06-037-4002","AQS"
"05/09/2000","64","","Azusa","06-037-0002","AQS"
"05/10/2000","60","","Azusa","06-037-0002","AQS"
"05/11/2000","47","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"05/12/2000","59","","Lynwood","06-037-1301","AQS"
"05/13/2000","55","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/14/2000","51","","Azusa","06-037-0002","AQS"
"05/15/2000","45","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/16/2000","25","","Long Beach (North)","06-037-4002","AQS"
"05/17/2000","52","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/18/2000","63","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"05/19/2000","84","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/20/2000","88","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/21/2000","85","","Lynwood","06-037-1301","AQS"
"05/22/2000","111","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/23/2000","98","","Azusa","06-037-0002","AQS"
"05/24/2000","66","","Azusa","06-037-0002","AQS"
"05/25/2000","73","","Azusa","06-037-0002","AQS"
"05/26/2000","74","","Azusa","06-037-0002","AQS"
"05/27/2000","80","","Azusa","06-037-0002","AQS"
"05/28/2000","79","","Azusa","06-037-0002","AQS"
"05/29/2000","102","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/30/2000","102","","Los Angeles-North Main Street","06-037-1103","AQS"
"05/31/2000","72","","Azusa","06-037-0002","AQS"
"06/01/2000","77","","Azusa","06-037-0002","AQS"
"06/02/2000","85","","Not Available","06-037-1601","AQS"
"06/03/2000","82","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"06/04/2000","69","","Azusa","06-037-0002","AQS"
"06/05/2000","61","","Azusa","06-037-0002","AQS"
"06/06/2000","64","","Azusa","06-037-0002","AQS"
"06/07/2000","60","","Azusa","06-037-0002","AQS"
"06/08/2000","31","","Azusa","06-037-0002","AQS"
"06/09/2000","40","","Azusa","06-037-0002","AQS"
"06/10/2000","55","","Azusa","06-037-0002","AQS"
"06/11/2000","61","","Reseda","06-037-1201","AQS"
"06/12/2000","69","","Azusa","06-037-0002","AQS"
"06/13/2000","69","","Azusa","06-037-0002","AQS"
"06/14/2000","70","","Pasadena","06-037-2005","AQS"
"06/15/2000","70","","Azusa","06-037-0002","AQS"
"06/16/2000","68","","Azusa","06-037-0002","AQS"
"06/17/2000","58","","Azusa","06-037-0002","AQS"
"06/18/2000","57","","Azusa","06-037-0002","AQS"
"06/19/2000","58","","Azusa","06-037-0002","AQS"
"06/20/2000","66","","Azusa","06-037-0002","AQS"
"06/21/2000","75","","Azusa","06-037-0002","AQS"
"06/22/2000","75","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/23/2000","62","","Reseda","06-037-1201","AQS"
"06/24/2000","55","","Azusa","06-037-0002","AQS"
"06/25/2000","58","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"06/26/2000","63","","Azusa","06-037-0002","AQS"
"06/27/2000","68","","Azusa","06-037-0002","AQS"
"06/28/2000","75","","Los Angeles-North Main Street","06-037-1103","AQS"
"06/29/2000","80","","Azusa","06-037-0002","AQS"
"06/30/2000","80","","Azusa","06-037-0002","AQS"
"07/01/2000","83","","Azusa","06-037-0002","AQS"
"07/02/2000","71","","Azusa","06-037-0002","AQS"
"07/03/2000","63","","Azusa","06-037-0002","AQS"
"07/04/2000","110","","Azusa","06-037-0002","AQS"
"07/05/2000","151","","Azusa","06-037-0002","AQS"
"07/06/2000","59","","Azusa","06-037-0002","AQS"
"07/07/2000","54","","Azusa","06-037-0002","AQS"
"07/08/2000","55","","Azusa","06-037-0002","AQS"
"07/09/2000","57","","Azusa","06-037-0002","AQS"
"07/10/2000","59","","Azusa","06-037-0002","AQS"
"07/11/2000","64","","Not Available","06-037-1601","AQS"
"07/12/2000","64","","Azusa","06-037-0002","AQS"
"07/13/2000","58","","Azusa","06-037-0002","AQS"
"07/14/2000","61","","Azusa","06-037-0002","AQS"
"07/15/2000","59","","Long Beach (North)","06-037-4002","AQS"
"07/16/2000","59","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/17/2000","64","","Azusa","06-037-0002","AQS"
"07/18/2000","70","","Azusa","06-037-0002","AQS"
"07/19/2000","70","","Azusa","06-037-0002","AQS"
"07/20/2000","74","","Azusa","06-037-0002","AQS"
"07/21/2000","77","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/22/2000","81","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/23/2000","72","","Burbank","06-037-1002","AQS"
"07/24/2000","76","","Long Beach (North)","06-037-4002","AQS"
"07/25/2000","83","","Azusa","06-037-0002","AQS"
"07/26/2000","82","","Azusa","06-037-0002","AQS"
"07/27/2000","87","","Azusa","06-037-0002","AQS"
"07/28/2000","75","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"07/29/2000","69","","Mission Viejo","06-059-2022","AQS"
"07/30/2000","72","","Azusa","06-037-0002","AQS"
"07/31/2000","67","","Azusa","06-037-0002","AQS"
"08/01/2000","74","","Lynwood","06-037-1301","AQS"
"08/02/2000","68","","Azusa","06-037-0002","AQS"
"08/03/2000","71","","Azusa","06-037-0002","AQS"
"08/04/2000","67","","Azusa","06-037-0002","AQS"
"08/05/2000","66","","Azusa","06-037-0002","AQS"
"08/06/2000","94","","Long Beach (North)","06-037-4002","AQS"
"08/07/2000","78","","Burbank","06-037-1002","AQS"
"08/08/2000","84","","Azusa","06-037-0002","AQS"
"08/09/2000","63","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/10/2000","63","","Azusa","06-037-0002","AQS"
"08/11/2000","63","","Azusa","06-037-0002","AQS"
"08/12/2000","68","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/13/2000","84","","Azusa","06-037-0002","AQS"
"08/14/2000","77","","Azusa","06-037-0002","AQS"
"08/15/2000","97","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/16/2000","75","","Azusa","06-037-0002","AQS"
"08/17/2000","73","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/18/2000","89","","Long Beach (North)","06-037-4002","AQS"
"08/19/2000","65","","Azusa","06-037-0002","AQS"
"08/20/2000","62","","Azusa","06-037-0002","AQS"
"08/21/2000","76","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"08/22/2000","77","","Burbank","06-037-1002","AQS"
"08/23/2000","77","","Azusa","06-037-0002","AQS"
"08/24/2000","73","","Azusa","06-037-0002","AQS"
"08/25/2000","68","","Azusa","06-037-0002","AQS"
"08/26/2000","84","","Long Beach (North)","06-037-4002","AQS"
"08/27/2000","56","","Azusa","06-037-0002","AQS"
"08/28/2000","71","","Burbank","06-037-1002","AQS"
"08/29/2000","85","","Azusa","06-037-0002","AQS"
"08/30/2000","51","","Azusa","06-037-0002","AQS"
"08/31/2000","43","","Azusa","06-037-0002","AQS"
"09/01/2000","28","","Azusa","06-037-0002","AQS"
"09/02/2000","26","","Long Beach (North)","06-037-4002","AQS"
"09/03/2000","56","","Long Beach (North)","06-037-4002","AQS"
"09/04/2000","43","","Azusa","06-037-0002","AQS"
"09/05/2000","56","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/06/2000","66","","Azusa","06-037-0002","AQS"
"09/07/2000","71","","Azusa","06-037-0002","AQS"
"09/08/2000","75","","Azusa","06-037-0002","AQS"
"09/09/2000","96","","Lynwood","06-037-1301","AQS"
"09/10/2000","75","","Long Beach (North)","06-037-4002","AQS"
"09/11/2000","114","","Long Beach (North)","06-037-4002","AQS"
"09/12/2000","82","","Not Available","06-037-1601","AQS"
"09/13/2000","65","","Azusa","06-037-0002","AQS"
"09/14/2000","59","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/15/2000","73","","Lynwood","06-037-1301","AQS"
"09/16/2000","67","","Azusa","06-037-0002","AQS"
"09/17/2000","64","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/18/2000","106","","Lynwood","06-037-1301","AQS"
"09/19/2000","146","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/20/2000","99","","Azusa","06-037-0002","AQS"
"09/21/2000","62","","Burbank","06-037-1002","AQS"
"09/22/2000","24","","Azusa","06-037-0002","AQS"
"09/23/2000","41","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"09/24/2000","42","","Lynwood","06-037-1301","AQS"
"09/25/2000","53","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/26/2000","70","","Azusa","06-037-0002","AQS"
"09/27/2000","89","","Burbank","06-037-1002","AQS"
"09/28/2000","109","","Azusa","06-037-0002","AQS"
"09/29/2000","79","","Los Angeles-North Main Street","06-037-1103","AQS"
"09/30/2000","95","","Burbank","06-037-1002","AQS"
"10/01/2000","104","","Azusa","06-037-0002","AQS"
"10/02/2000","102","","Azusa","06-037-0002","AQS"
"10/03/2000","117","","Burbank","06-037-1002","AQS"
"10/04/2000","64","","Azusa","06-037-0002","AQS"
"10/05/2000","65","","Azusa","06-037-0002","AQS"
"10/06/2000","96","","Azusa","06-037-0002","AQS"
"10/07/2000","54","","Anaheim (1010 Harbor Blvd)","06-059-0001","AQS"
"10/08/2000","94","","Azusa","06-037-0002","AQS"
"10/09/2000","138","","Azusa","06-037-0002","AQS"
"10/10/2000","38","","Azusa","06-037-0002","AQS"
